1.99E+30,-1.32E+06,-1.51E+05,3.20E+04,4.10E-03,-1.47E-02,2.78E-05
5.97E+24,-1.06E+08,-1.08E+08,3.85E+04,2.09E+01,-2.09E+01,2.02E-03
7.35E+22,-1.07E+08,-1.09E+08,2.22E+04,2.18E+01,-2.13E+01,-8.12E-02
4.87E+24,-1.04E+08,3.13E+07,6.39E+06,-1.04E+01,-3.37E+01,1.41E-01
3.30E+23,-4.00E+07,-5.68E+07,-1.05E+06,3.04E+01,-2.52E+01,-4.84E+00
6.42E+23,-2.07E+08,1.40E+08,8.01E+06,-1.27E+01,-1.80E+01,-6.36E-02
1.90E+27,6.77E+08,2.98E+08,-1.64E+07,-5.41E+00,1.26E+01,6.90E-02
5.68E+26,1.27E+09,-7.35E+08,-3.77E+07,4.30E+00,8.34E+00,-3.16E-01
8.68E+25,1.94E+09,2.20E+09,-1.70E+07,-5.16E+00,4.19E+00,8.24E-02
1.02E+26,4.46E+09,-3.81E+08,-9.48E+07,4.27E-01,5.45E+00,-1.22E-01
1.31E+22,2.47E+09,-4.57E+09,-2.26E+08,4.94E+00,1.41E+00,-1.58E+00
705,-1.07E+08,-1.10E+08,1.07E+05,2.12E+01,-2.11E+01,-1.53E-01
2.20E+14,-2.98E+09,4.06E+09,-1.49E+09,6.69E-01,6.14E-01,8.15E-02
