-106383686.519987,-108488063.390939,38482.285591,20.893447,-20.860723,0.002016
-105628910.071293,-109236352.916006,38553.669969,21.038415,-20.710761,0.001948
-104868932.438897,-109979226.997811,38622.399236,21.182401,-20.559865,0.001869
-104103788.944656,-110716651.913284,38688.118165,21.325407,-20.408029,0.001781
-103333514.928358,-111448593.769435,38750.496142,21.467430,-20.255249,0.001683
-102558145.801754,-112175018.475905,38809.232230,21.608468,-20.101520,0.001578
-101777717.106723,-112895891.725854,38864.059805,21.748516,-19.946834,0.001466
-100992264.576016,-113611178.985727,38914.750646,21.887569,-19.791186,0.001349
-100201824.194989,-114320845.494079,38961.118359,22.025618,-19.634569,0.001227
-99406432.262778,-115024856.269304,39003.021103,22.162653,-19.476978,0.001101
-98606125.451543,-115723176.125843,39040.363544,22.298665,-19.318406,0.000973
-97800940.862580,-116415769.698225,39073.098061,22.433639,-19.158850,0.000845
-96990916.078298,-117102601.472154,39101.225182,22.567562,-18.998306,0.000718
-96176089.209301,-117783635.821765,39124.793306,22.700419,-18.836771,0.000592
-95356498.935984,-118458837.052177,39143.897723,22.832193,-18.674243,0.000470
-94532184.544226,-119128169.446453,39158.679003,22.962867,-18.510724,0.000352
-93703185.954874,-119791597.316138,39169.320786,23.092423,-18.346215,0.000240
-92869543.746809,-120449085.054590,39176.047030,23.220842,-18.180718,0.000135
-92031299.173442,-121100597.192326,39179.118768,23.348107,-18.014238,0.000037
-91188494.172532,-121746098.453650,39178.830427,23.474196,-17.846781,-0.000052
-90341171.369243,-122385553.813795,39175.505761,23.599092,-17.678356,-0.000131
-89489374.072445,-123018928.555815,39169.493463,23.722776,-17.508971,-0.000201
-88633146.264294,-123646188.326394,39161.162515,23.845229,-17.338637,-0.000260
-87772532.583240,-124267299.189733,39150.897355,23.966433,-17.167367,-0.000308
-86907578.300759,-124882227.678636,39139.092939,24.086371,-16.995174,-0.000346
-86038329.292208,-125490940.841939,39126.149786,24.205026,-16.822074,-0.000372
-85164832.002406,-126093406.287468,39112.469108,24.322384,-16.648082,-0.000387
-84287133.406685,-126689592.219775,39098.448096,24.438430,-16.473215,-0.000391
-83405280.968300,-127279467.472094,39084.475485,24.553151,-16.297491,-0.000384
-82519322.593210,-127863001.532062,39070.927452,24.666535,-16.120929,-0.000367
-81629306.583310,-128440164.561022,39058.163937,24.778573,-15.943548,-0.000340
-80735281.589210,-129010927.406889,39046.525435,24.889255,-15.765367,-0.000305
-79837296.563634,-129575261.610828,39036.330294,24.998574,-15.586405,-0.000260
-78935400.716397,-130133139.408161,39027.872538,25.106522,-15.406681,-0.000208
-78029643.471821,-130684533.724119,39021.420215,25.213095,-15.226214,-0.000149
-77120074.429251,-131229418.165168,39017.214236,25.318288,-15.045024,-0.000084
-76206743.327155,-131767767.006748,39015.467679,25.422098,-14.863129,-0.000013
-75289700.011106,-132299555.178276,39016.365493,25.524522,-14.680546,0.000063
-74368994.405744,-132824758.246275,39020.064557,25.625558,-14.497292,0.000143
-73444676.490639,-133343352.396447,39026.694013,25.725206,-14.313386,0.000226
-72516796.279844,-133855314.415407,39036.355816,25.823463,-14.128843,0.000311
-71585403.804785,-134360621.672724,39049.125429,25.920331,-13.943680,0.000398
-70650549.100063,-134859252.103783,39065.052601,26.015810,-13.757911,0.000487
-69712282.191663,-135351184.193866,39084.162184,26.109898,-13.571552,0.000575
-68770653.087034,-135836396.963726,39106.454923,26.202598,-13.384618,0.000663
-67825711.766494,-136314869.956821,39131.908186,26.293910,-13.197123,0.000751
-66877508.175398,-136786583.228249,39160.476614,26.383836,-13.009080,0.000836
-65926092.216552,-137251517.335334,39192.092648,26.472376,-12.820505,0.000920
-64971513.742352,-137709653.329708,39226.666936,26.559531,-12.631410,0.001001
-64013822.546202,-138160972.750654,39264.088606,26.645305,-12.441808,0.001078
-63053068.352777,-138605457.619372,39304.225414,26.729698,-12.251714,0.001151
-62089300.806791,-139043090.433775,39346.923774,26.812714,-12.061141,0.001220
-61122569.459964,-139473854.163312,39392.008702,26.894354,-11.870101,0.001284
-60152923.756002,-139897732.243277,39439.283700,26.974623,-11.678607,0.001342
-59180413.013471,-140314708.567952,39488.530623,27.053524,-11.486672,0.001393
-58205086.406593,-140724767.481918,39539.509583,27.131061,-11.294308,0.001438
-57226992.944114,-141127893.768764,39591.958956,27.207239,-11.101528,0.001475
-56246181.446584,-141524072.636465,39645.595568,27.282064,-10.908342,0.001504
-55262700.522572,-141913289.698641,39700.115135,27.355541,-10.714763,0.001524
-54276598.544549,-142295530.951006,39755.193056,27.427679,-10.520799,0.001535
-53287923.625414,-142670782.742393,39810.485652,27.498484,-10.326461,0.001536
-52296723.596866,-143039031.739932,39865.631933,27.567964,-10.131756,0.001526
-51303045.991005,-143400264.888193,39920.255991,27.636129,-9.936693,0.001507
-50306938.026754,-143754469.362438,39973.970065,27.702986,-9.741275,0.001476
-49308446.602722,-144101632.516531,40026.378340,27.768544,-9.545509,0.001434
-48307618.298150,-144441741.826498,40077.081462,27.832814,-9.349395,0.001381
-47304499.383403,-144774784.831234,40125.681737,27.895802,-9.152936,0.001317
-46299135.841157,-145100749.072264,40171.788930,27.957517,-8.956130,0.001243
-45291573.398986,-145419622.034915,40215.026501,28.017964,-8.758976,0.001158
-44281857.573435,-145731391.093447,40255.038105,28.077150,-8.561468,0.001064
-43270033.724992,-146036043.462825,40291.494116,28.135077,-8.363603,0.000960
-42256147.122659,-146333566.159631,40324.097913,28.191747,-8.165374,0.000850
-41240243.016115,-146623945.974296,40352.591674,28.247160,-7.966775,0.000732
